Time                 Word  Status
31-12-2022::20:36:09 hilts S 6
01-01-2023::09:14:37 meaul S 6
01-01-2023::09:20:29 notus S 6
01-01-2023::09:31:00 salva S 5
01-01-2023::09:41:33 tarve U #
01-01-2023::14:35:08 gulix U #
01-01-2023::14:36:56 rebab U #
01-01-2023::14:38:36 seqed U #
01-01-2023::14:41:56 tramp S 5
02-01-2023::07:16:28 float U #
02-01-2023::07:18:34 chair S 4
02-01-2023::07:24:25 yogic U #
02-01-2023::07:27:01 bruet S 4
04-01-2023::09:26:14 girsh S 5
04-01-2023::09:28:02 guijo U #
04-01-2023::11:17:27 napal S 6
04-01-2023::11:26:45 tided U #
04-01-2023::11:31:48 revay U #
04-01-2023::11:33:58 hardy U #
04-01-2023::11:37:09 tyche S 5
04-01-2023::11:37:52 toosh S 6
04-01-2023::11:39:40 blote S 5
04-01-2023::11:40:27 duces U #
04-01-2023::11:41:16 pseud U #
04-01-2023::11:42:46 adunc U #
04-01-2023::11:46:19 genin U #
04-01-2023::12:17:50 hided S 6
